문제제목,입출력 예,자바파일
홀짝 구분하기,,"import java.util.Scanner;

public class Solution {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        int n = sc.nextInt();
    }
}"
부분 문자열인지 확인하기,"my_string | target | result
--- | --- | ---
""banana"" | ""ana"" | 1
""banana"" | ""wxyz"" | 0","class Solution {
    public int solution(String my_string, String target) {
        int answer = 0;
        return answer;
    }
}"
n 번째 원소까지,"num_list | n | result
--- | --- | ---
[2, 1, 6] | 1 | [2]
[5, 2, 1, 7, 5] | 3 | [5, 2, 1]","class Solution {
    public int[] solution(int[] num_list, int n) {
        int[] answer = {};
        return answer;
    }
}"
조건에 맞게 수열 변환하기 3,"arr | k | result
--- | --- | ---
[1, 2, 3, 100, 99, 98] | 3 | [3, 6, 9, 300, 297, 294]
[1, 2, 3, 100, 99, 98] | 2 | [3, 4, 5, 102, 101, 100]","class Solution {
    public int[] solution(int[] arr, int k) {
        int[] answer = {};
        return answer;
    }
}"
부분 문자열,"str1 | str2 | result
--- | --- | ---
""abc"" | ""aabcc"" | 1
""tbt"" | ""tbbttb"" | 0","class Solution {
    public int solution(String str1, String str2) {
        int answer = 0;
        return answer;
    }
}"
공배수,"number | n | m | result
--- | --- | --- | ---
60 | 2 | 3 | 1
55 | 10 | 5 | 0","class Solution {
    public int solution(int number, int n, int m) {
        int answer = 0;
        return answer;
    }
}"
약수 구하기,"n | result
--- | ---
24 | [1, 2, 3, 4, 6, 8, 12, 24]
29 | [1, 29]","class Solution {
    public int[] solution(int n) {
        int[] answer = {};
        return answer;
    }
}"
접미사인지 확인하기,"my_string | is_suffix | result
--- | --- | ---
""banana"" | ""ana"" | 1
""banana"" | ""nan"" | 0
""banana"" | ""wxyz"" | 0
""banana"" | ""abanana"" | 0","class Solution {
    public int solution(String my_string, String is_suffix) {
        int answer = 0;
        return answer;
    }
}"
n 번째 원소부터,"num_list | n | result
--- | --- | ---
[2, 1, 6] | 3 | [6]
[5, 2, 1, 7, 5] | 2 | [2, 1, 7, 5]","class Solution {
    public int[] solution(int[] num_list, int n) {
        int[] answer = {};
        return answer;
    }
}"
글자 이어 붙여 문자열 만들기,"my_string | index_list | result
--- | --- | ---
""cvsgiorszzzmrpaqpe"" | [16, 6, 5, 3, 12, 14, 11, 11, 17, 12, 7] | ""programmers""
""zpiaz"" | [1, 2, 0, 0, 3] | ""pizza""","class Solution {
    public String solution(String my_string, int[] index_list) {
        String answer = """";
        return answer;
    }
}"
홀짝에 따라 다른 값 반환하기,"n | result
--- | ---
7 | 16
10 | 220","class Solution {
    public int solution(int n) {
        int answer = 0;
        return answer;
    }
}"
마지막 두 원소,"num_list | result
--- | ---
[2, 1, 6] | [2, 1, 6, 5]
[5, 2, 1, 7, 5] | [5, 2, 1, 7, 5, 10]","class Solution {
    public int[] solution(int[] num_list) {
        int[] answer = {};
        return answer;
    }
}"
문자열의 앞의 n글자,"my_string | n | result
--- | --- | ---
""ProgrammerS123"" | 11 | ""ProgrammerS""
""He110W0r1d"" | 5 | ""He110""","class Solution {
    public String solution(String my_string, int n) {
        String answer = """";
        return answer;
    }
}"
이어 붙인 수,"num_list | result
--- | ---
[3, 4, 5, 2, 1] | 393
[5, 7, 8, 3] | 581","class Solution {
    public int solution(int[] num_list) {
        int answer = 0;
        return answer;
    }
}"
n개 간격의 원소들,"num_list | n | result
--- | --- | ---
[4, 2, 6, 1, 7, 6] | 2 | [4, 6, 7]
[4, 2, 6, 1, 7, 6] | 4 | [4, 7]","class Solution {
    public int[] solution(int[] num_list, int n) {
        int[] answer = {};
        return answer;
    }
}"
카운트 업,"start_num | end_num | result
--- | --- | ---
3 | 10 | [3, 4, 5, 6, 7, 8, 9, 10]","class Solution {
    public int[] solution(int start_num, int end_num) {
        int[] answer = {};
        return answer;
    }
}"
중복된 숫자 개수,"array | n | result
--- | --- | ---
[1, 1, 2, 3, 4, 5] | 1 | 2
[0, 2, 3, 4] | 1 | 0","class Solution {
    public int solution(int[] array, int n) {
        int answer = 0;
        return answer;
    }
}"
중앙값 구하기,"array | result
--- | ---
[1, 2, 7, 10, 11] | 7
[9, -1, 0] | 0","class Solution {
    public int solution(int[] array) {
        int answer = 0;
        return answer;
    }
}"
옷가게 할인 받기,"price | result
--- | ---
150,000 | 142,500
580,000 | 464,000","class Solution {
    public int solution(int price) {
        int answer = 0;
        return answer;
    }
}"
직각삼각형 출력하기,,"import java.util.Scanner;

public class Solution {
    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        int n = sc.nextInt();

        System.out.println(n);
    }
}"
개미 군단,"hp | result
--- | ---
23 | 5
24 | 6
999 | 201","class Solution {
    public int solution(int hp) {
        int answer = 0;
        return answer;
    }
}"
가위 바위 보,"rsp | result
--- | ---
""2"" | ""0""
""205"" | ""052""","class Solution {
    public String solution(String rsp) {
        String answer = """";
        return answer;
    }
}"
주사위의 개수,"box | n | result
--- | --- | ---
[1, 1, 1] | 1 | 1
[10, 8, 6] | 3 | 12","class Solution {
    public int solution(int[] box, int n) {
        int answer = 0;
        return answer;
    }
}"
문자열 정렬하기 (1),"my_string | result
--- | ---
""hi12392"" | [1, 2, 2, 3, 9]
""p2o4i8gj2"" | [2, 2, 4, 8]
""abcde0"" | [0]","class Solution {
    public int[] solution(String my_string) {
        int[] answer = {};
        return answer;
    }
}"
최댓값 만들기 (2),"numbers | result
--- | ---
[1, 2, -3, 4, -5] | 15
[0, -31, 24, 10, 1, 9] | 240
[10, 20, 30, 5, 5, 20, 5] | 600","class Solution {
    public int solution(int[] numbers) {
        int answer = 0;
        return answer;
    }
}"
369게임,"order | result
--- | ---
3 | 1
29423 | 2","class Solution {
    public int solution(int order) {
        int answer = 0;
        return answer;
    }
}"
암호 해독,"cipher | code | result
--- | --- | ---
""dfjardstddetckdaccccdegk"" | 4 | ""attack""
""pfqallllabwaoclk"" | 2 | ""fallback""","class Solution {
    public String solution(String cipher, int code) {
        String answer = """";
        return answer;
    }
}"
인덱스 바꾸기,"my_string | num1 | num2 | result
--- | --- | --- | ---
""hello"" | 1 | 2 | ""hlelo""
""I love you"" | 3 | 6 | ""I l veoyou""","class Solution {
    public String solution(String my_string, int num1, int num2) {
        String answer = """";
        return answer;
    }
}"
숫자 찾기,"num | k | result
--- | --- | ---
29183 | 1 | 3
232443 | 4 | 4
123456 | 7 | -1","class Solution {
    public int solution(int num, int k) {
        int answer = 0;
        return answer;
    }
}"
문자열 정렬하기 (2),"my_string | result
--- | ---
""Bcad"" | ""abcd""
""heLLo"" | ""ehllo""
""Python"" | ""hnopty""","class Solution {
    public String solution(String my_string) {
        String answer = """";
        return answer;
    }
}"
특별한 이차원 배열 2,"arr | result
--- | ---
[[5, 192, 33], [192, 72, 95], [33, 95, 999]] | 1
[[19, 498, 258, 587], [63, 93, 7, 754], [258, 7, 1000, 723], [587, 754, 723, 81]] | 0

i | j | arr[i][j] | arr[j][i]
--- | --- | --- | ---
0 | 0 | 5 | 5
0 | 1 | 192 | 192
0 | 2 | 33 | 33
1 | 0 | 192 | 192
1 | 1 | 72 | 72
1 | 2 | 95 | 95
2 | 0 | 33 | 33
2 | 1 | 95 | 95
2 | 2 | 999 | 999","class Solution {
    public int solution(int[][] arr) {
        int answer = 0;
        return answer;
    }
}"
특별한 이차원 배열 1,"n | result
--- | ---
3 | [[1, 0, 0], [0, 1, 0], [0, 0, 1]]
6 | [[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]
1 | [[1]]

i \ j | 0 | 1 | 2
--- | --- | --- | ---
0 | 1 | 0 | 0
1 | 0 | 1 | 0
2 | 0 | 0 | 1

i \ j | 0 | 1 | 2 | 3 | 4 | 5
--- | --- | --- | --- | --- | --- | ---
0 | 1 | 0 | 0 | 0 | 0 | 0
1 | 0 | 1 | 0 | 0 | 0 | 0
2 | 0 | 0 | 1 | 0 | 0 | 0
3 | 0 | 0 | 0 | 1 | 0 | 0
4 | 0 | 0 | 0 | 0 | 1 | 0
5 | 0 | 0 | 0 | 0 | 0 | 1

i \ j | 0
--- | ---
0 | 1","class Solution {
    public int[][] solution(int n) {
        int[][] answer = {};
        return answer;
    }
}"
l로 만들기,"myString | result
--- | ---
""abcdevwxyz"" | ""lllllvwxyz""
""jjnnllkkmm"" | ""llnnllllmm""","class Solution {
    public String solution(String myString) {
        String answer = """";
        return answer;
    }
}"
주사위 게임 1,"a | b | result
--- | --- | ---
3 | 5 | 34
6 | 1 | 14
2 | 4 | 2","class Solution {
    public int solution(int a, int b) {
        int answer = 0;
        return answer;
    }
}"
정수 찾기,"num_list | n | result
--- | --- | ---
[1, 2, 3, 4, 5] | 3 | 1
[15, 98, 23, 2, 15] | 20 | 0","class Solution {
    public int solution(int[] num_list, int n) {
        int answer = 0;
        return answer;
    }
}"
꼬리 문자열,"str_list | ex | result
--- | --- | ---
[""abc"", ""def"", ""ghi""] | ""ef"" | ""abcghi""
[""abc"", ""bbc"", ""cbc""] | ""c"" | """"","class Solution {
    public String solution(String[] str_list, String ex) {
        String answer = """";
        return answer;
    }
}"
배열의 원소 삭제하기,"arr | delete_list | result
--- | --- | ---
[293, 1000, 395, 678, 94] | [94, 777, 104, 1000, 1, 12] | [293, 395, 678]
[110, 66, 439, 785, 1] | [377, 823, 119, 43] | [110, 66, 439, 785, 1]","class Solution {
    public int[] solution(int[] arr, int[] delete_list) {
        int[] answer = {};
        return answer;
    }
}"
문자열로 변환,"n | result
--- | ---
123 | ""123""
2573 | ""2573""","class Solution {
    public String solution(int n) {
        String answer = """";
        return answer;
    }
}"
0 떼기,"n_str | result
--- | ---
""0010"" | ""10""
""854020"" | ""854020""","class Solution {
    public String solution(String n_str) {
        String answer = """";
        return answer;
    }
}"
문자열을 정수로 변환하기,"n_str | result
--- | ---
""10"" | 10
""8542"" | 8542","class Solution {
    public int solution(String n_str) {
        int answer = 0;
        return answer;
    }
}"
문자열 정수의 합,"num_str | result
--- | ---
""123456789"" | 45
""1000000"" | 1","class Solution {
    public int solution(String num_str) {
        int answer = 0;
        return answer;
    }
}"
정수 부분,"flo | result
--- | ---
1.42 | 1
69.32 | 69","class Solution {
    public int solution(double flo) {
        int answer = 0;
        return answer;
    }
}"
뒤에서 5등 위로,"num_list | result
--- | ---
[12, 4, 15, 46, 38, 1, 14, 56, 32, 10] | [15, 32, 38, 46, 56]","class Solution {
    public int[] solution(int[] num_list) {
        int[] answer = {};
        return answer;
    }
}"
뒤에서 5등까지,"num_list | result
--- | ---
[12, 4, 15, 46, 38, 1, 14] | [1, 4, 12, 14, 15]","class Solution {
    public int[] solution(int[] num_list) {
        int[] answer = {};
        return answer;
    }
}"
배열의 길이에 따라 다른 연산하기,"arr | n | result
--- | --- | ---
[49, 12, 100, 276, 33] | 27 | [76, 12, 127, 276, 60]
[444, 555, 666, 777] | 100 | [444, 655, 666, 877]","class Solution {
    public int[] solution(int[] arr, int n) {
        int[] answer = {};
        return answer;
    }
}"
배열 비교하기,"arr1 | arr2 | result
--- | --- | ---
[49, 13] | [70, 11, 2] | -1
[100, 17, 84, 1] | [55, 12, 65, 36] | 1
[1, 2, 3, 4, 5] | [3, 3, 3, 3, 3] | 0","class Solution {
    public int solution(int[] arr1, int[] arr2) {
        int answer = 0;
        return answer;
    }
}"
배열의 원소만큼 추가하기,"arr | result
--- | ---
[5, 1, 4] | [5, 5, 5, 5, 5, 1, 4, 4, 4, 4]
[6, 6] | [6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
[1] | [1]

a | X
--- | ---
 | []
5 | [5, 5, 5, 5, 5]
1 | [5, 5, 5, 5, 5, 1]
4 | [5, 5, 5, 5, 5, 1, 4, 4, 4, 4]

a | X
--- | ---
 | []
6 | [6, 6, 6, 6, 6, 6]
6 | [6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]

a | X
--- | ---
 | []
1 | [1]","class Solution {
    public int[] solution(int[] arr) {
        int[] answer = {};
        return answer;
    }
}"
rny_string,"rny_string | result
--- | ---
""masterpiece"" | ""rnasterpiece""
""programmers"" | ""prograrnrners""
""jerry"" | ""jerry""
""burn"" | ""burn""

rny_string | m | a | s | t | e | r | p | i | e | c | e
--- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | ---
result | rn | a | s | t | e | r | p | i | e | c | e

rny_string | p | r | o | g | r | a | m | m | e | r | s
--- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | ---
result | p | r | o | g | r | a | rn | rn | e | r | s","class Solution {
    public String solution(String rny_string) {
        String answer = """";
        return answer;
    }
}"
문자열 바꿔서 찾기,"myString | pat | result
--- | --- | ---
""ABBAA"" | ""AABB"" | 1
""ABAB"" | ""ABAB"" | 0","class Solution {
    public int solution(String myString, String pat) {
        int answer = 0;
        return answer;
    }
}"
간단한 식 계산하기,"binomial | result
--- | ---
""43 + 12"" | 55
""0 - 7777"" | -7777
""40000 * 40000"" | 1600000000","class Solution {
    public int solution(String binomial) {
        int answer = 0;
        return answer;
    }
}"
